Lemma,Word_Type,Category,Primary_subcategory
invigorated,=a,inclusive,emotional_security
involved,=a,inclusive,emotional_security
joyful,a,inclusive,emotional_security
jubilant,a,inclusive,emotional_security
lively,a,inclusive,emotional_security
loving,=a,inclusive,emotional_security
mellow,a,inclusive,emotional_security
moved,=a,inclusive,emotional_security
open,a,inclusive,emotional_security
open hearted,=a,inclusive,emotional_security
optimistic,a,inclusive,emotional_security
peaceful,a,inclusive,emotional_security
pleased,=a,inclusive,emotional_security
proud,a,inclusive,emotional_security
radiant,a,inclusive,emotional_security
rapturous,a,inclusive,emotional_security
refreshed,=a,inclusive,emotional_security
rejuvenated,=a,inclusive,emotional_security
relieved,=a,inclusive,emotional_security
renewed,=a,inclusive,emotional_security
rested,=a,inclusive,emotional_security
restored,=a,inclusive,emotional_security
