MaleCodedWords-German,Is active,Wordtype,Forms,Alternatives-German Input fields job tite | Role | Requirements,Alternatives-German input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate
Entschlussfreudigkeit,1,s,,Flexibilität | Pragmatismus | Beweglichkeit,Flexibilität | Pragmatismus | Beweglichkeit,rough
Entschlusskraft,1,s,,Flexibilität | Pragmatismus | Beweglichkeit,Flexibilität | Pragmatismus | Beweglichkeit,rough
Erfolgshunger,1,s,s?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive
erfolgshungrig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive
erober,1,"v,s",(n|st|t|er|erinnen),entdecken | neugierig sein | mehr wissen | erfahren wollen,entdecken | neugierig sein | mehr wissen | erfahren wollen,competitive
Eroberung,1,s,(en)?,Entdeckung | Erwerb neuer Kenntnisse | inspiriert durch das Unbekannte,Entdeckung | Erwerb neuer Kenntnisse | inspiriert durch das Unbekannte,competitive
erprobt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,kompetent | mit Know-how | mit Erfahrung,kompetent | mit Know-how | mit Erfahrung,corporate
erwarte,1,v,(n|st|t|nd),begrüssen | wünschen,begrüssen | wünschen,competitive
Extrameile,1,s,(en)?,engagiert,engagiert,competitive
Hunger,1,s,s?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive
hungrig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleissig,Meilensteine erreichen wollen | strebsam | fleissig,competitive
fachmännisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,mit Qualität | fachkundig | geübt | kenntnisreich | kompetent,mit Qualität | fachkundig | geübt | kenntnisreich | kompetent,corporate
feindselig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
Feindseligkeit,1,s,,,,competitive
freimütig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,zur eigenen Meinung stehen | seine Arbeit vertreten,zur eigenen Meinung stehen | seine Arbeit vertreten,rough
Freimütigkeit,1,s,(en)?,zur eigenen Meinung stehen | seine Arbeit vertreten,zur eigenen Meinung stehen | seine Arbeit vertreten,rough
führ,1,v,(e|st|t|en),unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,hard-hearted
Führer,1,s,(in|n|innen|s)?,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted
Führerschaft,1,s,,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted
Führung,1,s,,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted
Führungskraft,1,s,,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted
furchtlos,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted
geldgierig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
gewagt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,hard-hearted
Gewalt,1,s,,,,hard-hearted
getrieben,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
gewinn,1,a,(e|st|t|en),erwerben | dazu lernen | insistieren | aus Erfahrung Neues schaffen | nicht locker lassen | sich nicht abbringen lassen,erwerben | dazu lernen | insistieren | aus Erfahrung Neues schaffen | nicht locker lassen | sich nicht abbringen lassen,competitive
Gewinner,1,s,(in|n|innen|s)?,nicht locker lassen | sich vom Ziel nicht abbringen lassen,nicht locker lassen | sich vom Ziel nicht abbringen lassen,competitive
gierig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
Grundsatz,1,s,es?,,,rough
Grundsätze,1,s,,,,rough
grundsätzlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough
hart,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Ziel verfolgen | sich vom Weg nicht abbringen | Weg vorleben,,
Härt,1,"s,a",(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Ziel verfolgen | sich vom Weg nicht abbringen | Weg vorleben,,
hartgesotten,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Ziel verfolgen | sich vom Weg nicht abbringen | Weg vorleben,,hard-hearted
hartnäckig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,competitive
Hartnäckigkeit,1,s,,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,competitive
herausfordernd,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
Herausforderung,1,s,(en)?,neugierig | Spass an Neuem | offen für neue Entdeckungen,neugierig | Spass an Neuem | offen für neue Entdeckungen,competitive
herrschend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
Höchstleistung,1,s,(en)?,gemeinsam Ziele erarbeiten | durch gemeinsame Unterstützung produktiver werden,gemeinsam Ziele erarbeiten | durch gemeinsame Unterstützung produktiver werden,competitive
impulsiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
individuell,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive
Intellekt,1,s,(s|es)?,,,corporate
intellektuell,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,corporate
jag,1,v,(e|st|t|en),verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,competitive
Jagd,1,s,,,,competitive
Jäger,1,s,(in|n|innen|s)?,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,competitive
Kampf,1,s,(s|es)?,,,competitive
kämpf,1,v,(e|st|t|en),einstehen für | unterstützend agieren | mit Disziplin erarbeiten,einstehen für | unterstützend agieren | mit Disziplin erarbeiten,competitive
kämpfend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
Kämpfer,1,s,(in|n|innen|s)?,mit Disziplin das Ziel erreichen | einstehen für | Strebsamkeit,mit Disziplin das Ziel erreichen | einstehen für | Strebsamkeit,competitive
kämpferisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,competitive
kampflustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive
kompetitiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | mit anderen etwas erreichen,Kompetenz einsetzen | mit anderen etwas erreichen,competitive
Konkurrenz,1,s,,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive
konkurrenzbetont,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,competitive
Konkurrenzdruck,1,s,,fokussiert bleiben | Ruhe bewahren | langer Atem,,
konkurrenzfähig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,fokussiert bleiben | Ruhe bewahren | langer Atem,fokussiert bleiben | Ruhe bewahren | langer Atem,competitive
Kraft,1,s,,,,hard-hearted
kraftvoll,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
