MaleCodedWords,Is active,Wordtype,Forms,Alternatives-German Input fields job tite | Role | Requirements,Alternatives-German input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate,Alternatives_split
ambitioniert,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,competitive,"['Freude über Erreichung von Milestones', 'eifrig', 'fleissig', 'gerne eine Vision umsetzen', 'enthusiastisch bei der Umsetzung unserer Ziele']"
analytisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough,"['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen', 'erkunden', 'untersuchen', 'überprüfen']"
analysieren,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough,"['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen', 'erkunden', 'untersuchen', 'überprüfen']"
analysier,1.0,v,(en|st|end|ende)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough,"['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen', 'erkunden', 'untersuchen', 'überprüfen']"
Analyse,1.0,s,(n)?,Erkundung | Untersuchung | Studie | Überprüfung,Erkundung | Untersuchung | Studie | Überprüfung,rough,"['Erkundung', 'Untersuchung', 'Studie', 'Überprüfung']"
anfechtbar,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"im Kontext ""du bist nicht anfechtbar"": integer | authentisch","im Kontext ""du bist nicht anfechtbar"": integer | authentisch",rough,"['im Kontext ""du bist nicht anfechtbar"": integer', 'authentisch']"
anfecht,1.0,v,(e|est|et|en),"im Kontext ""du kannst anfechten"": argumentieren | diskutieren | sich abstimmen","im Kontext ""du kannst anfechten"": argumentieren | diskutieren | sich abstimmen",rough,"['im Kontext ""du kannst anfechten"": argumentieren', 'diskutieren', 'sich abstimmen']"
angreifend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive,['etablierte Meinungen hinterfragen']
Angriff,1.0,s,(es|e)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive,['etablierte Meinungen hinterfragen']
angriffslustig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive,['etablierte Meinungen hinterfragen']
anspruchsvoll,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,gerne mit immer wieder neuen Problemstellungen konfrontiert | kritisches Hinterfragen der Tatsachen,gerne mit immer wieder neuen Problemstellungen konfrontiert | kritisches Hinterfragen der Tatsachen,rough,"['gerne mit immer wieder neuen Problemstellungen konfrontiert', 'kritisches Hinterfragen der Tatsachen']"
Athlet,1.0,s,(in|en|innen|es)?,diszipliniert | Durchhaltevermögen,diszipliniert | Durchhaltevermögen,competitive,"['diszipliniert', 'Durchhaltevermögen']"
athletisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,diszipliniert | Durchhaltevermögen,diszipliniert | Durchhaltevermögen,competitive,"['diszipliniert', 'Durchhaltevermögen']"
aufstrebend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleissig | lernen aus Erfahrungen,Meilensteine erreichen wollen | strebsam | fleissig | lernen aus Erfahrungen,rough,"['Meilensteine erreichen wollen', 'strebsam', 'fleissig', 'lernen aus Erfahrungen']"
ausfecht,1.0,v,(e|est|et|en),argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,competitive,"['argumentieren mit Erfahrung', 'Wissen', 'diskutieren über verschiedene Perspektiven']"
fecht,1.0,v,(e|est|et|en),argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,competitive,"['argumentieren mit Erfahrung', 'Wissen', 'diskutieren über verschiedene Perspektiven']"
antreib,1.0,v,(e|st|t|en),sich engagieren für | die Initiative ergreifen | anleiten,sich engagieren für | die Initiative ergreifen | anleiten,competitive,"['sich engagieren für', 'die Initiative ergreifen', 'anleiten']"
autonom,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
autoritativ,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Wissen mitteilen und teilen | Richtung weisen,Wissen mitteilen und teilen | Richtung weisen,rough,"['Wissen mitteilen und teilen', 'Richtung weisen']"
begierig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,leidenschaftlich | erwartungsvoll | gespannt | mitgerissen | neugierig | Absicht haben,leidenschaftlich | erwartungsvoll | gespannt | mitgerissen | neugierig | Absicht haben,competitive,"['leidenschaftlich', 'erwartungsvoll', 'gespannt', 'mitgerissen', 'neugierig', 'Absicht haben']"
beharr,1.0,v,(e|st|t|en),insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']"
beharrlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']"
behaupt,1.0,v,(e|est|et|en),Meinung/Arbeit vertreten | Erfahrungen teilen,Meinung/Arbeit vertreten | Erfahrungen teilen,hard-hearted,"['Meinung/Arbeit vertreten', 'Erfahrungen teilen']"
beherrsch,1.0,v,(e|st|t|en),kompetent sein | Know-how haben,kompetent sein | Know-how haben,hard-hearted,"['kompetent sein', 'Know-how haben']"
belastbar,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem|keit)?,stabil | Ruhe bewahren | langer Atem | resilient,stabil | Ruhe bewahren | langer Atem,competitive,"['stabil', 'Ruhe bewahren', 'langer Atem', 'resilient']"
bestimmt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,klar und deutlich | mit Nachdruck | greifbar | handfest,klar und deutlich | mit Nachdruck | greifbar | handfest,hard-hearted,"['klar und deutlich', 'mit Nachdruck', 'greifbar', 'handfest']"
bew,1.0,v,(eist|eisen|iesen),aufzeigen | sich selbst wahrnehmen ,aufzeigen | sich selbst wahrnehmen ,competitive,"['aufzeigen', 'sich selbst wahrnehmen ']"
brüst,1.0,v,(e|est|et|en),für die gemachte Arbeit einstehen,für die gemachte Arbeit einstehen,hard-hearted,['für die gemachte Arbeit einstehen']
couragiert,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,competitive,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
direkt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,rough,"['geradeheraus', 'von Mensch zu Mensch', 'offenherzig', 'gradlinig', 'aufrichtig']"
Durchhaltevermöge,1.0,s,(ns|n),deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive,"['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']"
Durchhaltewille,1.0,s,(ns|n|s)?,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive,"['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']"
durchsetz,1.0,v,(e|t|en),erwirken | umsetzen | vollbringen,erwirken | umsetzen | vollbringen,hard-hearted,"['erwirken', 'umsetzen', 'vollbringen']"
durchsetzungsfähig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
durchsetzungsstark,1.0,a,(e|er|en|em|es)?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
Durchsetzungsvermögen,1.0,s,s?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
Druck,1.0,s,s?,Druck aushalten = in Ruhe Arbeiten abschliessen | besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben | in der Umsetzung unterstützen,Druck aushalten = in Ruhe Arbeiten abschliessen | besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben | in der Umsetzung unterstützen,competitive,"['Druck aushalten = in Ruhe Arbeiten abschliessen', 'besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben', 'in der Umsetzung unterstützen']"
Ehrgeiz,1.0,s,es?,Fleiss | Eifer | Pflichtbewusstsein,Fleiss | Eifer | Pflichtbewusstsein,competitive,"['Fleiss', 'Eifer', 'Pflichtbewusstsein']"
ehrgeizig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,eifrig | fleissig | pflichtbewusst,eifrig | fleissig | pflichtbewusst,competitive,"['eifrig', 'fleissig', 'pflichtbewusst']"
eigenständig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,cultural,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
eigenverantwortlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Verantwortung übernehmen | unternehmerisch handeln,Verantwortung übernehmen | unternehmerisch handeln,cultural,"['Verantwortung übernehmen', 'unternehmerisch handeln']"
Einsatzwille,1.0,s,(ns|n|s)?,Engagement | Begeisterung,Engagement | Begeisterung,rough,"['Engagement', 'Begeisterung']"
energisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,tatkräfig | dynamisch | zupackend,tatkräfig | dynamisch | zupackend,rough,"['tatkräfig', 'dynamisch', 'zupackend']"
entscheidungsfreudig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,rough,"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']"
entschieden,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,klipp und klar | eindeutig in der Kommunikation | explizit | deutlich,klipp und klar | eindeutig in der Kommunikation | explizit | deutlich,rough,"['klipp und klar', 'eindeutig in der Kommunikation', 'explizit', 'deutlich']"
entschlossen,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,konsequent | herzhaft | zupackend | pragmatisch,konsequent | herzhaft | zupackend | pragmatisch,rough,"['konsequent', 'herzhaft', 'zupackend', 'pragmatisch']"
entschlussfreudig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,rough,"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']"
Erfolgshunger,1.0,s,s?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive,"['Meilensteine erreichen wollen', 'Vision realisieren']"
erfolgshungrig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive,"['Meilensteine erreichen wollen', 'Vision realisieren']"
erober,1.0,"v,s",(n|st|t|er|erinnen),entdecken | neugierig sein | mehr wissen | erfahren wollen,entdecken | neugierig sein | mehr wissen | erfahren wollen,competitive,"['entdecken', 'neugierig sein', 'mehr wissen', 'erfahren wollen']"
Eroberung,1.0,s,(en)?,Entdeckung | Erwerb neuer Kenntnisse | inspiriert durch das Unbekannte,Entdeckung | Erwerb neuer Kenntnisse | inspiriert durch das Unbekannte,competitive,"['Entdeckung', 'Erwerb neuer Kenntnisse', 'inspiriert durch das Unbekannte']"
erprobt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,kompetent | mit Know-how | mit Erfahrung,kompetent | mit Know-how | mit Erfahrung,corporate,"['kompetent', 'mit Know-how', 'mit Erfahrung']"
erwarte,1.0,v,(n|st|t|nd),begrüssen | wünschen,begrüssen | wünschen,competitive,"['begrüssen', 'wünschen']"
Extrameile,1.0,s,(en)?,engagiert,engagiert,competitive,['engagiert']
Hunger,1.0,s,s?,Meilensteine erreichen wollen | Vision realisieren,Meilensteine erreichen wollen | Vision realisieren,competitive,"['Meilensteine erreichen wollen', 'Vision realisieren']"
hungrig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleissig,Meilensteine erreichen wollen | strebsam | fleissig,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleissig']"
fachmännisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,mit Qualität | fachkundig | geübt | kenntnisreich | kompetent,mit Qualität | fachkundig | geübt | kenntnisreich | kompetent,corporate,"['mit Qualität', 'fachkundig', 'geübt', 'kenntnisreich', 'kompetent']"
freimütig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,zur eigenen Meinung stehen | seine Arbeit vertreten,zur eigenen Meinung stehen | seine Arbeit vertreten,rough,"['zur eigenen Meinung stehen', 'seine Arbeit vertreten']"
Freimütigkeit,1.0,s,(en)?,zur eigenen Meinung stehen | seine Arbeit vertreten,zur eigenen Meinung stehen | seine Arbeit vertreten,rough,"['zur eigenen Meinung stehen', 'seine Arbeit vertreten']"
führ,1.0,v,(e|st|t|en),unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,hard-hearted,"['unterstützen', 'coachen', 'Vision kommunizieren', 'mitnehmen', 'lenken']"
Führer,1.0,s,(in|n|innen|s)?,Leitung | Unterstützung | Coaching | Vision kommunizieren,Leitung | Unterstützung | Coaching | Vision kommunizieren,hard-hearted,"['Leitung', 'Unterstützung', 'Coaching', 'Vision kommunizieren']"
gewagt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,hard-hearted,"['sich erlaubt', 'offen für Experimente', 'neue Sachen ausprobieren']"
gewinn,1.0,a,(e|st|t|en),erwerben | dazu lernen | insistieren | aus Erfahrung Neues schaffen | nicht locker lassen | sich nicht abbringen lassen,erwerben | dazu lernen | insistieren | aus Erfahrung Neues schaffen | nicht locker lassen | sich nicht abbringen lassen,competitive,"['erwerben', 'dazu lernen', 'insistieren', 'aus Erfahrung Neues schaffen', 'nicht locker lassen', 'sich nicht abbringen lassen']"
Gewinner,1.0,s,(in|n|innen|s)?,nicht locker lassen | sich vom Ziel nicht abbringen lassen,nicht locker lassen | sich vom Ziel nicht abbringen lassen,competitive,"['nicht locker lassen', 'sich vom Ziel nicht abbringen lassen']"
hartnäckig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen']"
Herausforderung,1.0,s,(en)?,neugierig | Spass an Neuem | offen für neue Entdeckungen,neugierig | Spass an Neuem | offen für neue Entdeckungen,competitive,"['neugierig', 'Spass an Neuem', 'offen für neue Entdeckungen']"
Höchstleistung,1.0,s,(en)?,gemeinsam Ziele erarbeiten | durch gemeinsame Unterstützung produktiver werden,gemeinsam Ziele erarbeiten | durch gemeinsame Unterstützung produktiver werden,competitive,"['gemeinsam Ziele erarbeiten', 'durch gemeinsame Unterstützung produktiver werden']"
individuell,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
jag,1.0,v,(e|st|t|en),verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,competitive,"['verfolgen', 'strebsam', 'im Blick behalten', 'Überblick behalten', 'fokussiert', 'neugierig']"
Jäger,1.0,s,(in|n|innen|s)?,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,verfolgen | strebsam | im Blick behalten | Überblick behalten | fokussiert | neugierig,competitive,"['verfolgen', 'strebsam', 'im Blick behalten', 'Überblick behalten', 'fokussiert', 'neugierig']"
kämpf,1.0,v,(e|st|t|en),einstehen für | unterstützend agieren | mit Disziplin erarbeiten,einstehen für | unterstützend agieren | mit Disziplin erarbeiten,competitive,"['einstehen für', 'unterstützend agieren', 'mit Disziplin erarbeiten']"
Kämpfer,1.0,s,(in|n|innen|s)?,mit Disziplin das Ziel erreichen | einstehen für | Strebsamkeit,mit Disziplin das Ziel erreichen | einstehen für | Strebsamkeit,competitive,"['mit Disziplin das Ziel erreichen', 'einstehen für', 'Strebsamkeit']"
kämpferisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,competitive,"['Reibungen bewältigen können', 'argumentieren können']"
kompetitiv,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | mit anderen etwas erreichen,Kompetenz einsetzen | mit anderen etwas erreichen,competitive,"['Kompetenz einsetzen', 'mit anderen etwas erreichen']"
konkurrenzfähig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,fokussiert bleiben | Ruhe bewahren | langer Atem,fokussiert bleiben | Ruhe bewahren | langer Atem,competitive,"['fokussiert bleiben', 'Ruhe bewahren', 'langer Atem']"
leiste,1.0,v,(t|st|n|nd),Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
leistungsbereit,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
leistungsorientiert,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,fleissig | tüchtig | Meilensteine erreichen wollen | enthusiastisch bei der Umsetzung,competitive,"['fleissig', 'tüchtig', 'Meilensteine erreichen wollen', 'enthusiastisch bei der Umsetzung']"
Leistungsträger,1.0,s,(in|n|innen|s)?,Gestalter | Schlüsselfigur/person | Schnittstelle,Gestalter | Schlüsselfigur/person | Schnittstelle,competitive,"['Gestalter', 'Schlüsselfigur/person', 'Schnittstelle']"
leit,1.0,v,(et|est|en|end),unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,unterstützen | coachen | Vision kommunizieren | mitnehmen | lenken,hard-hearted,"['unterstützen', 'coachen', 'Vision kommunizieren', 'mitnehmen', 'lenken']"
logisch,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,konsequent | schlüssig | nachvollziehbar | schematisch,konsequent | schlüssig | nachvollziehbar | schematisch,corporate,"['konsequent', 'schlüssig', 'nachvollziehbar', 'schematisch']"
