Lemma,subcategory,Lemma,is_active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Alternative_Singular_split,Alternative_Plural_split
hoch motivierter,vague_ambiguous,motiviert,1,a,,"fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']"
hoch motiviertes,vague_ambiguous,motiviert,1,a,,"fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']"
hoch motivierte,vague_ambiguous,motiviert,1,a,,"fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']"
hoch motiviertem,vague_ambiguous,motiviert,1,a,,"fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']"
hoch motivierten,vague_ambiguous,motiviert,1,a,,"fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']"
quer denk,vague_ambiguous,querdenken,1,v,(e|st|t|en)?,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,"['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']","['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']"
rasche Auffassungsgabe,vague_ambiguous,schnell,1,a+s,,das Wesentliche schnell erkennen | Gelerntes rasch selber anwenden,-,"['das Wesentliche schnell erkennen', 'Gelerntes rasch selber anwenden']",['-']
rascher Auffassungsgabe,vague_ambiguous,schnell,1,a+s,,das Wesentliche schnell erkennen | Gelerntes rasch selber anwenden,-,"['das Wesentliche schnell erkennen', 'Gelerntes rasch selber anwenden']",['-']
raschen Auffassungsgabe,vague_ambiguous,schnell,1,a+s,,das Wesentliche schnell erkennen | Gelerntes rasch selber anwenden,-,"['das Wesentliche schnell erkennen', 'Gelerntes rasch selber anwenden']",['-']
schnelle Auffassungsgabe,vague_ambiguous,schnell,1,a+s,,das Wesentliche schnell erkennen | Gelerntes rasch selber anwenden,-,"['das Wesentliche schnell erkennen', 'Gelerntes rasch selber anwenden']",['-']
schneller Auffassungsgabe,vague_ambiguous,schnell,1,a+s,,das Wesentliche schnell erkennen | Gelerntes rasch selber anwenden,-,"['das Wesentliche schnell erkennen', 'Gelerntes rasch selber anwenden']",['-']
schnellen Auffassungsgabe,vague_ambiguous,schnell,1,a+s,,das Wesentliche schnell erkennen | Gelerntes rasch selber anwenden,-,"['das Wesentliche schnell erkennen', 'Gelerntes rasch selber anwenden']",['-']
speditive Arbeitsweise,vague_ambiguous,speditiv,1,a+s,,effiziente/pragmatische/ergebnisorientierte Arbeitsweise,-,['effiziente/pragmatische/ergebnisorientierte Arbeitsweise'],['-']
speditiver Arbeitsweise,vague_ambiguous,speditiv,1,a+s,,effiziente/pragmatische/ergebnisorientierte Arbeitsweise,-,['effiziente/pragmatische/ergebnisorientierte Arbeitsweise'],['-']
speditiven Arbeitsweise,vague_ambiguous,speditiv,1,a+s,,effiziente/pragmatische/ergebnisorientierte Arbeitsweise,-,['effiziente/pragmatische/ergebnisorientierte Arbeitsweise'],['-']
speditive Arbeitsweisen,vague_ambiguous,speditiv,1,a+s,,-,effiziente/pragmatische/ergebnisorientierte Arbeitsweise,['-'],['effiziente/pragmatische/ergebnisorientierte Arbeitsweise']
speditiven Arbeitsweisen,vague_ambiguous,speditiv,1,a+s,,-,effiziente/pragmatische/ergebnisorientierte Arbeitsweise,['-'],['effiziente/pragmatische/ergebnisorientierte Arbeitsweise']
state-of-the-art,vague_ambiguous,,1,i,,auf dem neuesten/letzten Stand der Technik/Forschung/Technologie | fachüblich | Spitzen(technologie),auf dem neuesten/letzten Stand der Technik/Forschung/Technologie | fachüblich | Spitzen(technologie),"['auf dem neuesten/letzten Stand der Technik/Forschung/Technologie', 'fachüblich', 'Spitzen(technologie)']","['auf dem neuesten/letzten Stand der Technik/Forschung/Technologie', 'fachüblich', 'Spitzen(technologie)']"
Team-player,vague_ambiguous,Teamplayer,1,s,,Zusammenarbeit über das eigene Streben stellen | Team | Teammitglieder | Teamplayer*innen,Zusammenarbeit über das eigene Streben stellen | Team | Teammitglieder | Teamplayer*innen,"['Zusammenarbeit über das eigene Streben stellen', 'Team', 'Teammitglieder', 'Teamplayer*innen']","['Zusammenarbeit über das eigene Streben stellen', 'Team', 'Teammitglieder', 'Teamplayer*innen']"
think out of the box,vague_ambiguous,,1,i,,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,"['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']","['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']"
out of the box,vague_ambiguous,,1,i,,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,"['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']","['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']"
unkonventionell denk,vague_ambiguous,denken,1,a+v,(e|st|t|en)?,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,"['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']","['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']"
unkonventionell gedacht,vague_ambiguous,denken,1,a+v,(e|er|em|es|en)?,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,in neuen Mustern denken | parallel/lateral/kreativ/divergent denken | über den eigenen Tellerrand blicken | brainstormen,"['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']","['in neuen Mustern denken', 'parallel/lateral/kreativ/divergent denken', 'über den eigenen Tellerrand blicken', 'brainstormen']"
zeitgemässe Arbeitsbedingungen,vague_ambiguous,zeitgemäß,1,a+s,,"flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']"
zeitgemässen Arbeitsbedingungen,vague_ambiguous,zeitgemäß,1,a+s,,"flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']"
zeitgemäße Arbeitsbedingungen,vague_ambiguous,zeitgemäß,1,a+s,,"flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']"
zeitgemäßen Arbeitsbedingungen,vague_ambiguous,zeitgemäß,1,a+s,,"flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","flexible Arbeitszeiten | Homeoffice-Optionen | mehr Ferientage | Extra-Urlaub | Beteiligubng am Mobiltelefon | neueste Arbeitsgeräte | Gratisfrüchte, -snacks, -getränke | Vermittlungsprovision für neue Mitarbeitende","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']","['flexible Arbeitszeiten', 'Homeoffice-Optionen', 'mehr Ferientage', 'Extra-Urlaub', 'Beteiligubng am Mobiltelefon', 'neueste Arbeitsgeräte', 'Gratisfrüchte, -snacks, -getränke', 'Vermittlungsprovision für neue Mitarbeitende']"
