MaleCodedWords-English,Is active,Wordtype,Forms,"Alternatives-English Input field ""job title / role"" / ""requirements""","Alternatives-English input field ""Company, Company Culture, Goodies""","Subcategory: competitive, Hard-hearted, Rough, Corporate"
athletic,1,a,(ally)?,,,competitive
authoritative ,1,a,(ly)?,,,hard-hearted
authorit,1,s,(y|ies),competence | have and keep overview,competence | experience in the industry,hard-hearted
autonomous,1,a,(ly)?,at ease to take decisions related to your work | curious to find answers,self-organized | self-managed | we take our own decisions,competitive
autonomy,1,s,,at ease to take decisions related to your work | curious to find answers,self-organized | self-managed | we take our own decisions,competitive
battle,1,s,s?,,,hard-hearted
best,1,a,,,,competitive
boast,1,v,,,,hard-hearted
challeng,1,"s,v, a",(e|es|ing|ed|eable),put into question | interrogate | cross-examine,put into question | interrogate | cross-examine,competitive
champion,1,s,(s|ing|ed)?,role model | incorporating the vision | set course | inspire,role model | incorporating the vision | inspire,competitive
compete,1,v,s?,drive by purpose | move forward | find solutions,drive by purpose | move forward | find solutions,competitive
competiti,1,"a, s",(on|ve|vely),driven by purpose | delighted to move forward | like to find out the right solutions,driven by purpose | find out the right solutions | build the right thing ,competitive
confidence,1,s,,belief in yourself | positive | content with your abilities | delighted with your skills,positive | optimist | happy about our skills,rough
confident,1,a,(ly)?,belief in yourself | positive | content with your abilities | delighted with your skills,positive | optimist | happy about our skills,rough
conquer,1,"v, s",(s|ed|er|ers)?,discover | are curious about | want to know more,discover | are curious about | want to know more,competitive
conquest,1,s,s?,discovery | acquire new knowledge | inspired by the the unknown,discovery | acquire new knowledge | inspired by the the unknown,competitive
convinc,1,v,(e|es|ing|ed),inspire others | defend your opinion | enthuse others,inspire others | defend your opinion | enthuse others,rough
courage,1,s,,keen to try out new things | keen to experiment | ready to try out,try out new things | learn from unknowns | keen to experiment,rough
courageous,1,a,(ly)?,keen to try out new things | keen to experiment | ready to try out,try out new things | learn from unknowns | keen to experiment,rough
decid,1,v,(es|ed|ing)?,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,rough
decidedness,1,s,,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,rough
decision,,s,s?,,,rough
decisive,1,a,(ly)?,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,rough
decisiveness,1,s,,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,rough
demonstrat,1,v,(e|es|ed|ing),show | perceive yourself ,,competitive
determination,1,s,,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,rough
determined,1,a,,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,rough
direct,1,a,(ly)?,straightfoward | open | candid,,rough
direct,1,v,(ing|s|ed)?,steer | guide,,rough
directness,1,s,,openness | candor,,
dominant,1,a,(ly)?,respecting governance | defending governance,defend our innovative spirit | collaborate to serve our customers' needs,hard-hearted
dominat,,v,(es|ed|ing),,,hard-hearted
domination,,s,s?,,,hard-hearted
driv,1,v,(e|es|ing),engage | take responsibility,engage | take responsibility,competitive
driven ,1,a,,engage | take responsibility,engage | take responsibility,competitive
eager,1,a,(ness)?,keen on | to intend | have the intent | have the will,keen on | to intend | have the intent | have the will,competitive
endurance,1,s,,carry on | keep at it | keep going | see/follow something through,carry on | keep at it | keep going | see/follow something through,competitive
ensure,1,v,(s|ed|ing)?,take care of something,take care of something,rough
exceed,1,v,(s|ed|ing)?,think beyond | aspire,discover the unknown | learn from our experience,competitive
expertise,1,s,,competence | know how,competence | know how,corporate
expect,1,v,(s|ed|ing)?,welcome | wish,welcome | wish,competitive
extra mile,1,s,(s)?,engaged,engaged,competitive
fearless,1,a,(ly)?,,,rough
fierce,1,a,(ly)?,,,hard-hearted
fight,1,"s,v",(s|ing)?,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,competitive
fought,1,v,,keen to set course | ready to try out | conclusive,keen to set course | ready to try out | conclusive,competitive
firm,1,a,(ly)?,stable | steady | grounded base | constant,stable | steady | grounded base | constant,hard-hearted
forc,1,"s,v",(es|ed|ing),,,competitive
gladiatorial,,a,(ly)?,,,competitive
greed,,a,(y|ily),,,hard-hearted
headstrong,1,a,(ly)?,,,rough
hierarchical,1,a,(ly)?,,,corporate
hierarch,1,s,(y|ies),,,corporate
herself,1,a,,at ease to represent your work | at ease to take decisions related to your work,at ease to represent your work | at ease to take decisions related to your work,competitive
himself,1,a,,at ease to represent your work | at ease to take decisions related to your work,at ease to represent your work | at ease to take decisions related to your work,competitive
hostile,1,a,,,,hard-hearted
hostility,1,s,,,,hard-hearted
hunger,1,s,,,,competitive
hungr,1,a,(y|ily),,,competitive
hunter,1,s,,,,competitive
hunt,1,v,(s|ing)?,,,competitive
impulsiv,1,a,(ly)?,,,hard-hearted
in charge,1,a,,responsible for | take care of,responsible for | take care of,rough
independence,1,s,s?,feel competent in your field | at ease to represent your work | at ease to take decisions related to your work | curious to find answers,self-organized | self-managed | we take our own decisions,competitive
independent,1,a,(ly)?,feel competent in your field | at ease to represent your work | at ease to take decisions related to your work | curious to find answers,self-organized | self-managed | we take our own decisions,competitive
individual,1,a,(ly)?,feel competent in your field | at ease to represent your work | at ease to take decisions related to your work | curious to find answers,self-organized | self-managed | we take our own decisions,competitive
individuality,1,s,,in your own style,,competitive
intellect,1,s,,with know how,with know how,corporate
intellectual,1,a,(ly)?,with know how,with know how,corporate
lead,1,v,(s|ing)?,take responsibility | guide | coach | set course | inspire | incorporate/communicate the vision/the direction,take responsibility | guide | coach | set course | inspire | incorporate/communicate the vision/the direction,rough
leadership,1,s,,guidance | coaching | setting course | inspiration | incorporation,guidance | setting course | inspiration | incorporation,rough
logic,1,s,,systematic approach | with scientific care | with rational thinking,systematic approach | with scientific care | with rational thinking,corporate
master,1,"v,s",(s|ing|ed)?,competent | having experience,competent | having experience,competitive
objective,1,"a,s",,,,rough
opinion,1,s,,,,hard-hearted
opinionated,1,a,,,,hard-hearted
outspoken,1,a,(ly)?,"candid | frank | honest | direct | open | straight forward | keen to stand up for your ""done's"" | communicative | ready to exchange ideas ",frank | honest | respectful to each other's ideas | express our joy when we reached our goals,hard-hearted
outspokenness,1,s,,"candid | frank | honest | direct | open | straight forward | keen to stand up for your ""done's"" | communicative | ready to exchange ideas ",frank | honest | respectful to each other's ideas | express our joy when we reached our goals,hard-hearted
paranoid,1,a,,,,hard-hearted
perfomance-based,1,a,,the engagement influences the salary,,competitive
perform,1,"v,a,s",(s|ant|ing|ance|er)?,focus on next steps | engaged in your tasks | like to be or think entrepreneurial,focus on next steps | engaged in your tasks | like to be or think entrepreneurial,competitive
persever,1,"v,a,s",(e|ance|ant)?,"carry on | keep at it | keep going | see something through | follow something through | question ""no"" for an answer",keep going | keep on questioning | follow something through,competitive
persist,1,"v,a,s",(ence|ent)?,"carry on | keep at it | keep going | see something through | follow something through | question ""no"" for an answer",keep going | keep on questioning | follow something through,competitive
pertinacious,1,a,,,,hard-hearted
pioneer,1,"s,v",(s|ing),take responsibility | guide | coach | set course | inspire | incorporate/communicate the vision/the direction,take responsibility | guide | coach | set course | inspire | incorporate/communicate the vision/the direction,competitive
power,1,s,s?,capacity | energy | aptitude,capacity | energy | aptitude,hard-hearted
principle,1,s,s?,moral | ethics | integrity | virtue | decency | honour,moral | ethics | integrity | virtue | decency | honour,hard-hearted
problem,1,s,s?,,,competitive
problematic,1,a,(ly)?,,,competitive
proactive,1,a,(ly)?,take initiative | energetic | entrepreneurial,take initiative | energetic | entrepreneurial,rough
pro-active,1,a,(ly)?,take initiative | energetic | entrepreneurial,take initiative | energetic | entrepreneurial,rough
prov,1,v,(e|es|ed|ing),show | perceive yourself,,competitive
pugnacious,1,a,(ly)?,,,competitive
push,1,v,(e|es|ed|ing),take initiative | guide,take initiative | guide,competitive
reckless,1,a,(ly)?,,,hard-hearted
resolute,1,a,,purposeful | stable | steady | constant,purposeful | stable | steady | constant,hard-hearted
resolution,1,a,,with purpose | stabilty | steadiness ,with purpose / stabilty / steadiness ,hard-hearted
result oriented,1,a,,hands-on | get stuff done | pragmatic | committed,hands-on | get stuff done | pragmatic | committed,corporate
rigid,1,a,,,,hard-hearted
risk taker  ,1,s,s?,weighing options | open to new ideas | like to try things out,open to new ideas | like to try things out,rough
risk,1,s,s?,welcome the change | embrace ambiguity | keen on new insights,keen on new insights | take different factors into consideration,rough
robust,1,a,,with purpose | stabilty | steadiness ,"stable, steady, grounded base, constant, calm, keeping overview",rough
ructious,1,a,,,,hard-hearted
selfconfidence,1,s,,belief in yourself | positive | content with your abilities | delighted with your skills,positive | optimist | happy about our skills,competitive
selfconfident,1,a,(ly)?,belief in yourself | positive | content with your abilities | delighted with your skills,positive | optimist | happy about our skills,competitive
self-motivated,1,a,,,,competitive
selfreliance,1,s,,,,competitive
selfreliant,1,a,,,,competitive
selfsufficiency,1,s,,,,competitive
selfsufficient,1,a,,,,competitive
single,1,a,,feel competent in your field | at ease to represent your work ,stable | steady | grounded base | constant | calm | keeping overview,competitive
solid,1,a,(ly)?,stable | steady | grounded base | constant,stable | steady | grounded base | constant,hard-hearted
solidity,1,s,,stable | steady | grounded base | constant,stable | steady | grounded base | constant,hard-hearted
stamina,1,s,,carry on | keep at it | keep going | see/follow something through,carry on | keep at it | keep going | see/follow something through,competitive
steer,1,v,(s|ing)?,take responsibility | guide | coach | set course | inspire | incorporate/communicate the vision/the direction,take responsibility | guide | coach | set course | inspire | incorporate/communicate the vision/the direction,rough
strong,1,a,(ly)?,stable | steady | grounded base | constant | calm | keeping overview,stable | steady | grounded base | constant | calm | keeping overview,rough
stubborn,1,a,,,,hard-hearted
superior,1,a,,,,hard-hearted
survive,1,v,(s|ing)?,,,competitive
track record,1,s,(s)?,,,competitive
tenacious,1,a,,,,hard-hearted
tenacity,1,s,,,,hard-hearted
top performance,1,s,s?,develop towards common goals | become more productive through joint support,develop towards common goals | become more productive through joint support,competitive
tough,1,a,(ly)?,stable | steady | grounded base | constant | calm | keeping overview,stable | steady | grounded base | constant | continuous pace | calm | keeping overview,competitive
under pressure,1,a,,keep calm in rough times,stick together when times get rough,competitive
unreasonable,1,a,,,,hard-hearted
up to you,1,a,,with the support of your team you choose the best options,,competitive
win,1,v,(s|ing)?,captivate | bring round | induce | motivate,reach milestones together | celebrate our work done | support each other to reach our goals,competitive
yourself,1,a,,at ease to represent your work | at ease to take decisions related to your work,at ease to represent your work | at ease to take decisions related to your work,competitive
