Lemma,Is active,Wordtype,Forms,Alternatives,Alternatives input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate,Alternatives_split_role,Alternatives_split_company
(nicht |un)anfechtbar,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,integer | authentisch,integer | authentisch,rough,"['integer', 'authentisch']","['integer', 'authentisch']"
anfecht,1,v,(e|est|et|en),argumentieren | diskutieren | sich abstimmen,argumentieren | diskutieren | sich abstimmen,rough,"['argumentieren', 'diskutieren', 'sich abstimmen']","['argumentieren', 'diskutieren', 'sich abstimmen']"
angreifend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive,['etablierte Meinungen hinterfragen'],['etablierte Meinungen hinterfragen']
Angriff,1,s,(es|e)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive,['etablierte Meinungen hinterfragen'],['etablierte Meinungen hinterfragen']
angriffslustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive,['etablierte Meinungen hinterfragen'],['etablierte Meinungen hinterfragen']
anspruchsvoll,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,gerne mit immer wieder neuen Problemstellungen konfrontiert | kritisches Hinterfragen der Tatsachen,gerne mit immer wieder neuen Problemstellungen konfrontiert | kritisches Hinterfragen der Tatsachen,rough,"['gerne mit immer wieder neuen Problemstellungen konfrontiert', 'kritisches Hinterfragen der Tatsachen']","['gerne mit immer wieder neuen Problemstellungen konfrontiert', 'kritisches Hinterfragen der Tatsachen']"
antreib,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,anregend | motivierend,,competitive,"['anregend', 'motivierend']",['']
Athlet,1,s,(in|en|innen|es)?,diszipliniert | Durchhaltevermögen,diszipliniert | Durchhaltevermögen,competitive,"['diszipliniert', 'Durchhaltevermögen']","['diszipliniert', 'Durchhaltevermögen']"
athletisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,diszipliniert | Durchhaltevermögen,diszipliniert | Durchhaltevermögen,competitive,"['diszipliniert', 'Durchhaltevermögen']","['diszipliniert', 'Durchhaltevermögen']"
aufstrebend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleißig | lernen aus Erfahrungen,Meilensteine erreichen wollen | strebsam | fleißig | lernen aus Erfahrungen,rough,"['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'lernen aus Erfahrungen']","['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'lernen aus Erfahrungen']"
Ausdauer,1,s,,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive,"['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']","['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']"
Auseinandersetzung,1,s,,verschiedene Meinungen sind für dich eine Lernchance | Gedankenaustausch bringen dich weiter,verschiedene Meinungen sind für dich eine Lernchance | Gedankenaustausch bringen dich weiter,hard-hearted,"['verschiedene Meinungen sind für dich eine Lernchance', 'Gedankenaustausch bringen dich weiter']","['verschiedene Meinungen sind für dich eine Lernchance', 'Gedankenaustausch bringen dich weiter']"
ausfällig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,,hard-hearted,['-'],['']
ausfecht,1,v,(e|est|et|en),argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,competitive,"['argumentieren mit Erfahrung', 'Wissen', 'diskutieren über verschiedene Perspektiven']","['argumentieren mit Erfahrung', 'Wissen', 'diskutieren über verschiedene Perspektiven']"
fecht,1,v,(e|est|et|en),argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,competitive,"['argumentieren mit Erfahrung', 'Wissen', 'diskutieren über verschiedene Perspektiven']","['argumentieren mit Erfahrung', 'Wissen', 'diskutieren über verschiedene Perspektiven']"
antreib,1,v,(e|st|t|en),sich engagieren für | die Initiative ergreifen | anleiten,sich engagieren für | die Initiative ergreifen | anleiten,competitive,"['sich engagieren für', 'die Initiative ergreifen', 'anleiten']","['sich engagieren für', 'die Initiative ergreifen', 'anleiten']"
ausschlaggebend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,wesentlich | wichtig,,hard-hearted,"['wesentlich', 'wichtig']",['']
autonom,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']","['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
Autonomität,1,s,,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']","['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
Autorität,1,s,,Kompetenz | Verantwortung tragen | Vorbild sein,Kompetenz | Verantwortung tragen | Vorbild sein,rough,"['Kompetenz', 'Verantwortung tragen', 'Vorbild sein']","['Kompetenz', 'Verantwortung tragen', 'Vorbild sein']"
autoritativ,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Wissen mitteilen und teilen | Richtung weisen,Wissen mitteilen und teilen | Richtung weisen,rough,"['Wissen mitteilen und teilen', 'Richtung weisen']","['Wissen mitteilen und teilen', 'Richtung weisen']"
begierig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,leidenschaftlich | erwartungsvoll | gespannt | mitgerissen | neugierig | Absicht haben,leidenschaftlich | erwartungsvoll | gespannt | mitgerissen | neugierig | Absicht haben,competitive,"['leidenschaftlich', 'erwartungsvoll', 'gespannt', 'mitgerissen', 'neugierig', 'Absicht haben']","['leidenschaftlich', 'erwartungsvoll', 'gespannt', 'mitgerissen', 'neugierig', 'Absicht haben']"
beharr,1,v,(e|st|t|en),insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']","['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']"
beharrlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']","['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']"
Beharrlichkeit,1,s,,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive,"['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']","['insistieren', 'Erfahrung vertreten', 'nicht locker lassen', 'sich nicht abbringen lassen', 'auf Umsetzung hinwirken']"
behaupt,1,v,(e|est|et|en),Meinung/Arbeit vertreten | Erfahrungen teilen,Meinung/Arbeit vertreten | Erfahrungen teilen,hard-hearted,"['Meinung/Arbeit vertreten', 'Erfahrungen teilen']","['Meinung/Arbeit vertreten', 'Erfahrungen teilen']"
beherrsch,1,v,(e|st|t|en),kompetent sein | Know-how haben,kompetent sein | Know-how haben,hard-hearted,"['kompetent sein', 'Know-how haben']","['kompetent sein', 'Know-how haben']"
beherrschend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,maßgeblich | typisch | entscheidend | relevant | bedeutsam ,,hard-hearted,"['maßgeblich', 'typisch', 'entscheidend', 'relevant', 'bedeutsam ']",['']
belastbar,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem|keit)?,stabil | Ruhe bewahren | langer Atem | resilient,stabil | Ruhe bewahren | langer Atem,competitive,"['stabil', 'Ruhe bewahren', 'langer Atem', 'resilient']","['stabil', 'Ruhe bewahren', 'langer Atem']"
bestimmend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,zentral,,hard-hearted,['zentral'],['']
bestimmt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,klar und deutlich | mit Nachdruck | greifbar | handfest,klar und deutlich | mit Nachdruck | greifbar | handfest,hard-hearted,"['klar und deutlich', 'mit Nachdruck', 'greifbar', 'handfest']","['klar und deutlich', 'mit Nachdruck', 'greifbar', 'handfest']"
Bestimmtheit,1,s,,klar und deutlich | mit Nachdruck | greifbar | handfest,klar und deutlich | mit Nachdruck | greifbar | handfest,hard-hearted,"['klar und deutlich', 'mit Nachdruck', 'greifbar', 'handfest']","['klar und deutlich', 'mit Nachdruck', 'greifbar', 'handfest']"
bew,1,v,(eist|eisen|iesen),aufzeigen | sich selbst wahrnehmen ,aufzeigen | sich selbst wahrnehmen ,competitive,"['aufzeigen', 'sich selbst wahrnehmen ']","['aufzeigen', 'sich selbst wahrnehmen ']"
brüst,1,v,(e|est|et|en),für die gemachte Arbeit einstehen,für die gemachte Arbeit einstehen,hard-hearted,['für die gemachte Arbeit einstehen'],['für die gemachte Arbeit einstehen']
couragiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,competitive,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']","['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
deutlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,klar,,rough,['klar'],['']
dienstleistungsorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,einfühlsam mit Kundinnen und Kunden umgehen,cultural,[''],['einfühlsam mit Kundinnen und Kunden umgehen']
Dienstleistungsorientierung,1,s,,,einfühlsamer Umgang mit Kundinnen und Kunden,cultural,[''],['einfühlsamer Umgang mit Kundinnen und Kunden']
direkt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,rough,"['geradeheraus', 'von Mensch zu Mensch', 'offenherzig', 'gradlinig', 'aufrichtig']","['geradeheraus', 'von Mensch zu Mensch', 'offenherzig', 'gradlinig', 'aufrichtig']"
Direktheit,1,s,,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,rough,"['geradeheraus', 'von Mensch zu Mensch', 'offenherzig', 'gradlinig', 'aufrichtig']","['geradeheraus', 'von Mensch zu Mensch', 'offenherzig', 'gradlinig', 'aufrichtig']"
dominant,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted,[''],['']
draufgängerisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
Durchhaltevermöge,1,s,(ns|n),deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive,"['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']","['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']"
Durchhaltewille,1,s,(ns|n|s)?,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive,"['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']","['deine Ruhe und Besonnenheit bringen dich weiter', 'du hast einen langen Atem', 'du bleibst gerne an Dingen dran']"
durchsetz,1,v,(e|t|en),erwirken | umsetzen | vollbringen,erwirken | umsetzen | vollbringen,hard-hearted,"['erwirken', 'umsetzen', 'vollbringen']","['erwirken', 'umsetzen', 'vollbringen']"
durchsetzungsfähig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']","['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
Durchsetzungsfähigkeit,1,s,,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']","['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
durchsetzungsstark,1,a,(e|er|en|em|es)?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']","['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
durchsetzungsstärk,1,a,(ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem),,,hard-hearted,[''],['']
Durchsetzungskraft,1,s,,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']","['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
Durchsetzungsvermögen,1,s,s?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']","['die Arbeiten zum Abschluss bringen', 'vollbringen', 'Stakeholder mitreissen', 'umsetzungsfreudig']"
Drive,1,s,,engagiert | mit Freude | begeistert für etwas,engagiert | mit Freude | begeistert für etwas,hard-hearted,"['engagiert', 'mit Freude', 'begeistert für etwas']","['engagiert', 'mit Freude', 'begeistert für etwas']"
Druck,1,s,s?,Druck aushalten = in Ruhe Arbeiten abschliessen | besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben | in der Umsetzung unterstützen,Druck aushalten = in Ruhe Arbeiten abschliessen | besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben | in der Umsetzung unterstützen,competitive,"['Druck aushalten = in Ruhe Arbeiten abschliessen', 'besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben', 'in der Umsetzung unterstützen']","['Druck aushalten = in Ruhe Arbeiten abschliessen', 'besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben', 'in der Umsetzung unterstützen']"
Ehrgeiz,1,s,es?,Fleiß | Eifer | Pflichtbewusstsein,Fleiß | Eifer | Pflichtbewusstsein,competitive,"['Fleiß', 'Eifer', 'Pflichtbewusstsein']","['Fleiß', 'Eifer', 'Pflichtbewusstsein']"
ehrgeizig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,eifrig | fleißig | pflichtbewusst,eifrig | fleißig | pflichtbewusst,competitive,"['eifrig', 'fleißig', 'pflichtbewusst']","['eifrig', 'fleißig', 'pflichtbewusst']"
eigenständig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,cultural,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']","['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
Eigenständigkeit,1,s,,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,cultural,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']","['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
eigensinnig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,cultural,[''],['']
eigenverantwortlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Verantwortung übernehmen | unternehmerisch handeln,Verantwortung übernehmen | unternehmerisch handeln,cultural,"['Verantwortung übernehmen', 'unternehmerisch handeln']","['Verantwortung übernehmen', 'unternehmerisch handeln']"
Eigenverantwortung,1,s,,Verantwortung übernehmen | unternehmerisch handeln,Verantwortung übernehmen | unternehmerisch handeln,cultural,"['Verantwortung übernehmen', 'unternehmerisch handeln']","['Verantwortung übernehmen', 'unternehmerisch handeln']"
eigenwillig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,cultural,[''],['']
einzeln,1,a,,,,cultural,[''],['']
Einsatzwille,1,s,(ns|n|s)?,Engagement | Begeisterung,Engagement | Begeisterung,rough,"['Engagement', 'Begeisterung']","['Engagement', 'Begeisterung']"
Einsatzbereitschaft,1,s,,Engagement | Begeisterung,Engagement | Begeisterung,rough,"['Engagement', 'Begeisterung']","['Engagement', 'Begeisterung']"
energisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,tatkräftig | dynamisch | zupackend,tatkräftig | dynamisch | zupackend,rough,"['tatkräftig', 'dynamisch', 'zupackend']","['tatkräftig', 'dynamisch', 'zupackend']"
entscheidend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough,[''],['']
Entscheidung,1,s,(en)?,,,rough,[''],['']
